MapName,PrimaryState,MapScale,DateOnMap,ImprintYear,LinktoMetadata,EditYear,PhotoRevisionYear,NoWoodlandTint,VisualVersionNumber,AerialPhotoYear,FieldCheckYear,PhotoInspectionYear,SurveyYear,Datum,Projection,Advance,Preliminary,Provisional,Interim,Planimetric,SpecialPrinting,SpecialMap,ShadedRelief,Orthophoto,PubUsgs,PubArmyCorpEng,PubArmyMap,PubWarDept,PubMilitaryOther,PubForestServ,PubReclamation,PubBurLandMgmt,PubNatlParkServ,PubIndianAffairs,PubEpa,PubTennValleyAuth,PubUscommerce,Keywords,MapLanguage,DownloadGeoPDF
Ackerson Mountain,CA,24000,1990,1990,287768,1990,,N,,1985,1987,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507065&quad=Ackerson Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Ackerson Mountain,CA,24000,1992,1995,287769,,,N,,1992,,1992,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507067&quad=Ackerson Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Ackerson Mountain,CA,24000,2001,2004,100350,,,N,,1988,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507063&quad=Ackerson Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,50000,2002,2004,296644,,,N,,,,,,NAD83,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5630953&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acolita,CA,24000,1953,1982,287775,,,N,,1948,1953,1976,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507077&quad=Acolita&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,24000,1953,1985,287774,,,N,,1948,1953,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507075&quad=Acolita&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,24000,1953,1986,287771,,,N,,1948,1953,1976,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507071&quad=Acolita&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,24000,1992,1995,287772,1995,,N,,1992,,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507073&quad=Acolita&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,24000,1998,2002,100348,,,N,,1992,,1998,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507069&quad=Acolita&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acolita,CA,62500,1953,1955,296660,,,N,,1948,1953,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500277&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acolita,CA,62500,1953,1963,296659,,,N,,1948,1953,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500275&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acolita,CA,62500,1953,1965,296661,,,N,,1948,1953,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500279&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acolita,CA,62500,1953,1965,296657,,,Y,,1948,1953,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500271&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acolita,CA,62500,1953,1972,296658,,,N,,1948,1953,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500273&quad=Acolita&state=CA&grid=15X15&series=Map GeoPDF
Acorn Hollow,CA,24000,1985,1985,100347,1985,,N,,1980,1982,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507079&quad=Acorn Hollow&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1961,287785,,,N,,1957,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507085&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1964,287786,,,N,,1957,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507087&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1975,287787,,1974,N,,1974,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507089&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1975,302201,,1974,Y,,1974,1959,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507093&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1979,287788,,1974,N,,1974,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507091&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1994,302202,1994,1974,N,,1974,1959,1991,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507095&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1959,1994,287779,1994,1974,Y,,,1959,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507081&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,24000,1995,1999,287780,1995,,N,,1994,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507083&quad=Acton&state=CA&grid=7.5X7.5&series=Map GeoPDF
Acton,CA,62500,1940,1955,287784,,,N,,,,,1897,NAD,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500281&quad=Action&state=CA&grid=15X15&series=Map GeoPDF
Acton,CA,62500,1959,1961,296664,,,N,,1957,,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500287&quad=Action&state=CA&grid=15X15&series=Map GeoPDF
Acton,CA,62500,1959,1966,296663,,,N,,1957,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500285&quad=Action&state=CA&grid=15X15&series=Map GeoPDF
Acton,CA,62500,1959,1977,296662,,,N,,1957,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500283&quad=Action&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,24000,1948,1952,287793,,,N,1,1947,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507101&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1952,287794,,,N,,1947,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507103&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1967,287792,,,N,,1947,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507099&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1967,302204,,,Y,1,1947,1948,,,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507109&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1967,302203,,,Y,,1947,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507107&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1979,287796,1978,1978,N,1,1976,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507105&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1979,100345,1978,1978,N,,1976,1948,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507097&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,24000,1948,1979,302205,1978,1978,Y,,1976,1948,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507111&quad=Adelaida&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelaida,CA,62500,1919,,296666,,,N,,,,,1918,Unstated,Unstated,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500299&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,62500,1932,1942,287789,,,Y,,,,,,NAD,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500289&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,62500,1932,,296665,,,N,,,,,1918,NAD,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500297&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,62500,1947,1957,287790,,,N,,1947,1947,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500291&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,62500,1947,1960,287791,,,N,,1947,1947,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500293&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelaida,CA,62500,1961,1968,287795,,,N,,1960,1961,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500295&quad=Adelaida&state=CA&grid=15X15&series=Map GeoPDF
Adelanto,CA,24000,1956,1957,287799,,,N,,1952,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507115&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1964,287800,,,N,,1952,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507117&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1970,287801,,1968,N,,1968,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507119&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1970,302206,,1968,Y,,1968,,,1956,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507125&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1975,287802,,1968,N,,1968,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507121&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1980,302207,1980,1980,N,1,1978,,,1956,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507127&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1980,287803,1980,1980,N,,1978,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507123&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adelanto,CA,24000,1956,1993,287798,1993,,N,,1989,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507113&quad=Adelanto&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adin,CA,24000,1990,1990,287804,1990,,N,,1985,1987,,1962,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507133&quad=Adin&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adin,CA,24000,1993,1996,287805,,,N,,1985,,,1962,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507135&quad=Adin&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adin,CA,62500,1962,1964,287807,,,N,,1958,,,1962,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500303&quad=Adin&state=CA&grid=15X15&series=Map GeoPDF
Adin,CA,62500,1962,1971,287806,,,N,,1958,,,1962,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5500301&quad=Adin&state=CA&grid=15X15&series=Map GeoPDF
Adin Pass,CA,24000,1990,1990,287809,1990,,N,,1985,1987,,1961,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507129&quad=Adin Pass&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adin Pass,CA,24000,1993,1996,287810,,,N,,1988,1993,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507131&quad=Adin Pass&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mountain,CA,24000,1955,1969,302208,,1968,Y,,1968,1955,,1931,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507137&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mountain,CA,24000,1955,1993,302209,1992,,N,,1989,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507139&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mtn,CA,24000,1955,1965,287815,,,N,,1954,1955,,1931,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507145&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mtn,CA,24000,1955,1969,287816,,1968,N,,1968,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507147&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mtn,CA,24000,1955,1977,287817,,1968,N,,1968,1955,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507149&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mtn,CA,24000,1955,1993,100337,1992,1992,N,,1989,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507143&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Adobe Mtn.,CA,24000,1955,1957,287814,,,N,,1954,1955,,1931,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507141&quad=Adobe Mountain&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1961,287820,,,N,,1957,1958,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507155&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1970,287821,,,N,,1957,1958,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507157&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1970,302210,,,Y,,1957,1958,,,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507161&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1982,287822,1981,1981,N,,1978,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507159&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1982,302211,1981,1981,Y,,1978,,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507163&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1958,1993,287818,1992,1992,N,,1987,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507153&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aetna Springs,CA,24000,1998,2002,100335,,,N,,1987,,1998,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507151&quad=Aetna Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Agua Caliente Springs,CA,24000,1959,1960,287825,,,N,,1955,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507169&quad=Agua Caliente Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Agua Caliente Springs,CA,24000,1959,1960,302213,,,Y,,1955,1959,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507171&quad=Agua Caliente Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Agua Caliente Springs,CA,24000,1959,1967,287824,,,N,,1955,1959,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507167&quad=Agua Caliente Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
Agua Caliente Springs,CA,24000,1997,2003,287823,,,N,,1997,,1997,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507165&quad=Agua Caliente Springs&state=CA&grid=7.5X7.5&series=Map GeoPDF
